iter	Passed	Remaining
0	167	166885
1	177	88729
2	190	63290
3	201	50252
4	211	42103
5	221	36643
6	229	32624
7	240	29876
8	252	27845
9	262	26032
10	275	24800
11	286	23571
12	294	22370
13	305	21539
14	313	20575
15	321	19763
16	328	18988
17	336	18378
18	343	17757
19	352	17280
20	359	16754
21	367	16341
22	375	15954
23	384	15625
24	391	15254
25	399	14967
26	407	14694
27	416	14468
28	423	14188
29	432	13975
30	439	13736
31	447	13542
32	455	13346
33	465	13238
34	472	13035
35	481	12883
36	488	12723
37	496	12572
38	503	12404
39	511	12264
40	517	12114
41	524	11971
42	533	11882
43	543	11813
44	551	11710
45	560	11631
46	570	11558
47	578	11472
48	587	11395
49	596	11338
50	605	11274
51	613	11184
52	622	11117
53	631	11069
54	641	11028
55	648	10935
56	659	10903
57	666	10818
58	675	10772
59	683	10707
60	692	10662
61	699	10588
62	708	10542
63	716	10472
64	723	10407
65	730	10333
66	738	10279
67	744	10208
68	753	10160
69	759	10094
70	768	10049
71	774	9988
72	784	9963
73	792	9922
74	800	9877
75	807	9820
76	815	9770
77	822	9720
78	829	9666
79	837	9628
80	844	9577
81	852	9541
82	859	9492
83	867	9454
84	874	9408
85	882	9374
86	889	9330
87	896	9286
88	904	9261
89	911	9215
90	919	9186
91	928	9161
92	937	9144
93	949	9150
94	956	9111
95	963	9077
96	971	9042
97	978	9009
98	986	8974
99	992	8933
100	1001	8914
101	1008	8877
102	1016	8851
103	1023	8815
104	1032	8803
105	1039	8768
106	1047	8744
107	1054	8709
108	1063	8695
109	1075	8698
110	1085	8694
111	1095	8687
112	1106	8683
113	1119	8697
114	1130	8702
115	1140	8692
116	1148	8669
117	1156	8641
118	1165	8630
119	1174	8613
120	1182	8588
121	1189	8560
122	1199	8550
123	1206	8526
124	1215	8508
125	1222	8480
126	1231	8464
127	1238	8435
128	1246	8417
129	1253	8388
130	1262	8376
131	1269	8348
132	1278	8334
133	1285	8305
134	1294	8295
135	1301	8267
136	1311	8260
137	1319	8240
138	1328	8227
139	1334	8200
140	1344	8188
141	1351	8163
142	1360	8151
143	1367	8127
144	1376	8116
145	1383	8092
146	1392	8082
147	1399	8057
148	1409	8047
149	1417	8029
150	1426	8018
151	1432	7993
152	1441	7982
153	1448	7959
154	1457	7947
155	1464	7924
156	1472	7908
157	1479	7884
158	1487	7867
159	1494	7846
160	1502	7831
161	1510	7812
162	1517	7791
163	1527	7787
164	1536	7775
165	1543	7756
166	1551	7738
167	1560	7726
168	1568	7710
169	1577	7700
170	1585	7687
171	1593	7670
172	1602	7661
173	1610	7644
174	1620	7638
175	1628	7625
176	1640	7625
177	1650	7623
178	1660	7614
179	1671	7613
180	1680	7603
181	1694	7614
182	1708	7629
183	1722	7638
184	1731	7628
185	1743	7630
186	1758	7646
187	1773	7659
188	1786	7666
189	1796	7659
190	1809	7662
191	1824	7677
192	1837	7681
193	1847	7673
194	1858	7670
195	1870	7672
196	1880	7667
197	1891	7663
198	1905	7671
199	1918	7674
200	1928	7667
201	1940	7664
202	1952	7665
203	1960	7650
204	1970	7643
205	1982	7641
206	1990	7624
207	2002	7626
208	2012	7618
209	2020	7601
210	2030	7594
211	2039	7579
212	2050	7574
213	2056	7554
214	2064	7539
215	2071	7519
216	2079	7504
217	2086	7483
218	2093	7467
219	2100	7447
220	2109	7434
221	2116	7417
222	2124	7403
223	2132	7387
224	2139	7369
225	2146	7352
226	2153	7332
227	2161	7317
228	2167	7298
229	2175	7282
230	2181	7263
231	2189	7248
232	2196	7230
233	2203	7212
234	2210	7197
